"Reference","Value","Footprint","ID","Sim.Device","Sim.Pins","Qty"
"C1, C2, C5, C7, C8, C11, C12, C16, C18, C29","0,1uF","Capacitor_SMD:C_1206_3216Metric","","","","10"
"C3, C6","470uF 25V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","","","","2"
"C4","100uF","Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C","T495C107K016ATE200","","","1"
"C9, C10","10pF","Capacitor_SMD:C_1206_3216Metric","","","","2"
"C13-C15","0,33uF","Capacitor_SMD:C_1206_3216Metric","","","","3"
"C17, C21, C22","1n","Capacitor_SMD:C_1206_3216Metric","","","","3"
"C19, C20","0,47uF","Capacitor_SMD:C_1206_3216Metric","","","","2"
"C23-C26","2n2 600v","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","","","","4"
"C27","2u 600V","Capacitor_THT:C_Rect_L31.5mm_W15.0mm_P27.50mm_MKS4","","","","1"
"C28","0,1u 600V","Capacitor_THT:C_Rect_L26.5mm_W10.5mm_P22.50mm_MKS4","","","","1"
"D1, D5, D6, D8-D15","LL4148","Diode_SMD:D_MiniMELF","","D","1=K 2=A","11"
"D2-D4, D7","","LED_THT:LED_D3.0mm","","","","4"
"D16-D19","P6KE18CA","Diode_THT:D_DO-201AE_P15.24mm_Horizontal","","","","4"
"D20-D23","UF5408","Diode_THT:D_DO-201AE_P15.24mm_Horizontal","","","","4"
"H1-H3","MountingHole","MountingHole:MountingHole_3.5mm","","","","3"
"J1","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","","","","1"
"J2","+310","Z_pin:PinD2mm","","","","1"
"J3","-310","Z_pin:PinD2mm","","","","1"
"J4","PowerTrans1","Z_pin:PinD4mm","","","","1"
"J5","PowerTrans2","Z_pin:PinD4mm","","","","1"
"JP1, JP2","Jumper_3_Open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","","2"
"M1","BluePillStm32","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","","","","1"
"Q1-Q4","STD20NF06T4","Package_TO_SOT_SMD:TO-252-2","","","","4"
"Q5-Q8","IRGB10B60KD","Z_Package_TO:TO-247-3_Horizontal_TabUp","","","","4"
"R1, R9, R11, R15","4,7k","Resistor_SMD:R_1206_3216Metric","","","","4"
"R2","470","Resistor_SMD:R_1206_3216Metric","","","","1"
"R3, R4","4k7","Resistor_SMD:R_1206_3216Metric","","","","2"
"R5-R7, R13","330","Resistor_SMD:R_1206_3216Metric","","","","4"
"R8","100","Resistor_SMD:R_1206_3216Metric","","","","1"
"R10","15k","Resistor_SMD:R_1206_3216Metric","","","","1"
"R12","680","Resistor_SMD:R_1206_3216Metric","","","","1"
"R14, R18","1,5k","Resistor_SMD:R_1206_3216Metric","","","","2"
"R16, R23-R26","360","Resistor_SMD:R_1206_3216Metric","","","","5"
"R17","1k","Resistor_SMD:R_1206_3216Metric","","","","1"
"R19-R22","3,6k","Resistor_SMD:R_1206_3216Metric","","","","4"
"R27, R28","300","Resistor_SMD:R_1206_3216Metric","","","","2"
"R29-R32","20","Resistor_SMD:R_1206_3216Metric","","","","4"
"R33-R36","2,2k","Resistor_SMD:R_1206_3216Metric","","","","4"
"R37-R39","0,1","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","","","","3"
"R40-R43","18 2W","Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal","","","","4"
"RV1, RV2","4k7 3296W","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","","","2"
"T1, T2","Transformer_SP_2S","Z_transform:Trans_SP_2S","","","","2"
"U1","PC817","Package_DIP:DIP-4_W7.62mm","","","","1"
"U2","L7805","Package_TO_SOT_THT:TO-126-3_Vertical","","","","1"
"U3","TC1047AxNB","Package_TO_SOT_SMD:SOT-23","","","","1"
"U4","","Package_TO_SOT_SMD:SOT-23","","","","1"
"U5","LM311","Package_SO:SO-8_3.9x4.9mm_P1.27mm","","","","1"
"U6","6N137","Package_DIP:DIP-8_W7.62mm","","","","1"
