"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R37,R39,R38";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";3;"0,01";;;
2;"D18,D16,D19,D17";"D_DO-201AE_P15.24mm_Horizontal";4;"P6KE18CA";;;
3;"C27";"C_Rect_L31.5mm_W15.0mm_P27.50mm_MKS4";1;"2u 600V";;;
4;"D26,D24,D25,D27";"D_SMB";4;"SMBJ18CA";;;
5;"C3,C6";"CP_Radial_D8.0mm_P3.50mm";2;"470uF 25V";;;
6;"H3,H1,H2";"MountingHole_3.5mm";3;"MountingHole";;;
7;"J1";"IDC-Header_2x05_P2.54mm_Vertical";1;"~";;;
8;"D2,D7,D3,D4";"LED_D3.0mm";4;"~";;;
9;"J3";"PinD2mm";1;"-310";;;
10;"JP1,JP2";"PinHeader_1x03_P2.54mm_Vertical";2;"Jumper_3_Open";;;
11;"C25,C23,C24,C26";"C_Rect_L7.0mm_W2.0mm_P5.00mm";4;"2n2 600v";;;
12;"R41,R43,R40,R42";"R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal";4;"18 2W";;;
13;",,C27_2";"";3;"";;;
14;"U6";"DIP-8_W7.62mm";1;"6N137";;;
15;"RV1,RV2";"Potentiometer_Bourns_3296W_Vertical";2;"4k7 3296W";;;
16;"D23,D21,D22,D20";"D_DO-201AE_P15.24mm_Horizontal";4;"UF5408";;;
17;"U2";"TO-126-3_Vertical";1;"L7805";;;
18;"J5";"PinD4mm";1;"PowerTrans2";;;
19;"J4";"PinD4mm";1;"PowerTrans1";;;
20;"C28";"C_Rect_L26.5mm_W10.5mm_P22.50mm_MKS4";1;"0,1u 600V";;;
21;"M1";"DIP-40_W15.24mm_Socket_LongPads";1;"BluePillStm32";;;
22;"U1";"DIP-4_W7.62mm";1;"PC817";;;
23;"T2,T1";"Trans_SP_2S";2;"Transformer_SP_2S";;;
24;"J2";"PinD2mm";1;"+310";;;
25;"R4,R3";"R_1206_3216Metric";2;"4k7";;;
26;"D14,D9,D15,D5,D1,D11,D6,D13,D10,D8,D12";"D_MiniMELF";11;"LL4148";;;
27;"R19,R20,R22,R21";"R_1206_3216Metric";4;"3,6k";;;
28;"C8,C12,C5,C7,C1,C18,C29,C16,C30,C11,C2";"C_1206_3216Metric";11;"0,1uF";;;
29;"Q4,Q1,Q2,Q3";"TO-252-2";4;"STD20NF06T4";;;
30;"R12";"R_1206_3216Metric";1;"680";;;
31;"Q5,Q7,Q6,Q8";"TO-247-3_Horizontal_TabUp";4;"IRGB10B60KD";;;
32;"R46,R45,R44";"R_2816_7142Metric";3;"0,01";;;
33;"R35,R34,R36,R33";"R_1206_3216Metric";4;"2,2k";;;
34;"R29,R32,R31,R30";"R_1206_3216Metric";4;"20";;;
35;"R1,R9,R15,R11";"R_1206_3216Metric";4;"4,7k";;;
36;"D30,D29,D28,D31";"D_SMC";4;"ES3JC";;;
37;"R2";"R_1206_3216Metric";1;"470";;;
38;"C22,C21,C17";"C_1206_3216Metric";3;"1n";;;
39;"C10,C9";"C_1206_3216Metric";2;"10pF";;;
40;"R26,R25,R24,R16,R23";"R_1206_3216Metric";5;"360";;;
41;"U3";"SOT-23";1;"TC1047AxNB";;;
42;"R13,R5,R7,R6";"R_1206_3216Metric";4;"330";;;
43;"R18,R14";"R_1206_3216Metric";2;"1,5k";;;
44;"C14,C13,C15";"C_1206_3216Metric";3;"0,33uF";;;
45;"R27,R28";"R_1206_3216Metric";2;"300";;;
46;"C4";"CP_EIA-7343-15_Kemet-W";1;"100uF";;;
47;"R10";"R_1206_3216Metric";1;"15k";;;
48;"R8";"R_1206_3216Metric";1;"100";;;
49;"U5";"SO-8_3.9x4.9mm_P1.27mm";1;"LM311";;;
50;"C20,C19";"C_1206_3216Metric";2;"0,47uF";;;
51;"R17";"R_1206_3216Metric";1;"1k";;;
52;"U4";"SOT-23";1;"~";;;
