Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470uF 16V","CP_Radial_D8.0mm_P3.50mm",150.495000,-116.938000,90.000000,top
"C2","470nF","C_Rect_L24.0mm_W10.9mm_P22.50mm_MKT",74.930000,-83.868000,90.000000,top
"C3","470nF","C_Rect_L24.0mm_W10.9mm_P22.50mm_MKT",118.745000,-84.048000,90.000000,top
"C4","470nF","C_Rect_L24.0mm_W10.9mm_P22.50mm_MKT",159.385000,-83.868000,90.000000,top
"C5","220pF","C_Disc_D9.0mm_W5.0mm_P7.50mm",163.195000,-89.308000,180.000000,top
"C6","220pF","C_Disc_D9.0mm_W5.0mm_P7.50mm",155.635000,-55.018000,0.000000,top
"C7","220uF 16V","CP_Radial_D8.0mm_P3.50mm",178.435000,-112.720000,90.000000,top
"C8","1nF","C_1206_3216Metric",182.040000,-88.038000,180.000000,top
"C9","4.7uF","C_Rect_L29.0mm_W11.0mm_P27.50mm_MKT",200.660000,-57.558000,-90.000000,top
"D1","B360","D_SMC",150.905000,-124.868000,180.000000,top
"F1","Fuse","Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal",56.515000,-98.650000,-90.000000,top
"J1","Screw_Terminal_01x03","DB129V-7.62-3P-GN-S",58.420000,-64.770000,0.000000,top
"J2","Screw_Terminal_01x02","DB129V-7.62-2P-GN-S",184.150000,-125.222000,90.000000,top
"J3","~","IDC-Header_2x05_P2.54mm_Vertical",227.330000,-116.840000,180.000000,top
"J4","Screw_Terminal_01x01","PinD1_6mm",203.200000,-125.730000,180.000000,top
"J5","Screw_Terminal_01x01","PinD4mm",222.250000,-62.230000,0.000000,top
"J6","Screw_Terminal_01x01","PinD4mm",222.250000,-80.010000,0.000000,top
"J7","Screw_Terminal_01x01","PinD1_6mm",209.550000,-125.730000,0.000000,top
"L1","2X3.3mH 12A","B82726S6123N020",84.963000,-94.134000,90.000000,top
"L2","2X3.3mH 12A","B82726S6123N020",125.603000,-94.388000,90.000000,top
"L3","47uH","L_12x12mm_H8mm",166.497000,-124.868000,0.000000,top
"M1","~","AC_DC_12V2A",68.580000,-100.838000,0.000000,top
"R1","75k","R_1206_3216Metric",170.122500,-89.535000,0.000000,top
"R2","75k","R_1206_3216Metric",194.117500,-89.535000,180.000000,top
"R3","75k","R_1206_3216Metric",175.452500,-89.535000,0.000000,top
"R4","75k","R_1206_3216Metric",188.787500,-89.535000,180.000000,top
"U1","LM2576S-5","TO-263-5_TabPin3",165.735000,-106.275000,90.000000,top
"U2","PC814","DIP-4_W7.62mm",183.520000,-91.858000,-90.000000,top
